country,date,daily_vaccinations,people_vaccinated,people_fully_vaccinated,people_unvaccinated,new_people_vaccinated,new_people_fully_vaccinated,daily_occupancy_icu
Lebanon,2021-10-14,14733.0,1691332.0,1405084.0,4034380.02739726,5851.0,8882.0,
Lebanon,2021-10-15,11434.0,1696183.0,1411667.0,4029601.2657534247,4851.0,6583.0,
Lebanon,2021-10-16,466.0,1696421.0,1411895.0,4029435.504109589,238.0,228.0,
Lebanon,2021-10-17,433.0,1696621.0,1412128.0,4029307.742465753,200.0,233.0,
Lebanon,2021-10-18,2770.0,1697675.0,1413844.0,4028325.9808219178,1054.0,1716.0,
Lebanon,2021-10-19,42417.0,1714159.0,1439777.0,4011914.2191780815,16484.0,25933.0,
Lebanon,2021-10-20,7607.0,1717237.0,1444306.0,4008908.457534246,3078.0,4529.0,
Lebanon,2021-10-21,17103.0,1724039.0,1454607.0,4002178.695890411,6802.0,10301.0,
Lebanon,2021-10-22,10158.0,1727706.0,1461098.0,3998583.934246576,3667.0,6491.0,
Lebanon,2021-10-23,765.0,1728122.0,1461447.0,3998240.17260274,416.0,349.0,
Lebanon,2021-10-24,89.0,1728149.0,1461509.0,3998285.410958904,27.0,62.0,
Lebanon,2021-11-02,16285.0,1785791.0,1543777.0,3941293.556164384,7140.0,9145.0,
Lebanon,2021-11-03,13409.0,1791509.0,1551468.0,3935647.794520548,5718.0,7691.0,
Lebanon,2021-11-04,9292.0,1795891.0,1556378.0,3931338.032876712,4382.0,4910.0,
Lebanon,2021-11-05,16373.0,1803297.0,1565345.0,3924004.271232877,7406.0,8967.0,
Lebanon,2021-11-06,549.0,1803665.0,1565526.0,3923708.5095890407,368.0,181.0,
Lebanon,2021-11-07,1932.0,1804857.0,1566266.0,3922588.747945205,1192.0,740.0,
Lebanon,2021-11-08,17379.0,1812412.0,1576090.0,3915105.98630137,7555.0,9824.0,
Lebanon,2021-11-09,12176.0,1817389.0,1583289.0,3910201.224657535,4977.0,7199.0,
Lebanon,2021-11-10,10120.0,1821703.0,1589095.0,3905959.4630136974,4314.0,5806.0,
Lebanon,2021-11-11,13675.0,1827866.0,1596607.0,3899868.701369863,6163.0,7512.0,
Lebanon,2021-11-12,13384.0,1834075.0,1603782.0,3893731.939726028,6209.0,7175.0,
Lebanon,2021-11-13,970.0,1834730.0,1604097.0,3893149.178082192,655.0,315.0,
Lebanon,2021-11-14,4427.0,1837206.0,1606048.0,3890745.416438356,2476.0,1951.0,
Lebanon,2021-11-15,12751.0,1843550.0,1612455.0,3884473.6547945207,6344.0,6407.0,
Lebanon,2021-11-16,11982.0,1848928.0,1619059.0,3879167.893150685,5378.0,6604.0,
Lebanon,2021-11-17,13482.0,1855086.0,1626383.0,3873082.131506849,6158.0,7324.0,
Lebanon,2021-11-18,8984.0,1859011.0,1631442.0,3869229.3698630137,3925.0,5059.0,
Lebanon,2021-11-19,14587.0,1865566.0,1639474.0,3862746.6082191775,6555.0,8032.0,
Lebanon,2021-11-20,1353.0,1866557.0,1639836.0,3861827.846575342,991.0,362.0,
Lebanon,2021-11-21,1642.0,1867352.0,1640683.0,3861105.084931507,795.0,847.0,
Lebanon,2021-11-22,9437.0,1872552.0,1644920.0,3855977.323287672,5200.0,4237.0,
Lebanon,2021-11-23,17044.0,1880417.0,1654099.0,3848184.561643835,7865.0,9179.0,
Lebanon,2021-11-24,5268.0,1883131.0,1656653.0,3845542.8,2714.0,2554.0,
Lebanon,2021-11-25,9575.0,1888065.0,1661294.0,3840681.038356165,4934.0,4641.0,
Lebanon,2021-11-26,17148.0,1896009.0,1670498.0,3832809.276712329,7944.0,9204.0,
Lebanon,2021-11-27,2786.0,1897850.0,1671443.0,3831040.515068493,1841.0,945.0,
Lebanon,2021-11-28,1099.0,1898771.0,1671621.0,3830191.7534246575,921.0,178.0,
Lebanon,2021-11-29,16782.0,1907306.0,1679868.0,3821728.991780822,8535.0,8247.0,
Lebanon,2021-11-30,14115.0,1915051.0,1686238.0,3814056.230136986,7745.0,6370.0,
Lebanon,2021-12-01,7330.0,1919202.0,1689417.0,3809977.468493151,4151.0,3179.0,
Lebanon,2021-12-04,1471.0,1945230.0,1708276.0,3784166.183561644,902.0,569.0,
Lebanon,2021-12-05,6704.0,1949439.0,1710771.0,3780029.421917808,4209.0,2495.0,
Lebanon,2021-12-06,18320.0,1960822.0,1717708.0,3768718.660273973,11383.0,6937.0,
Lebanon,2021-12-07,14443.0,1970474.0,1722499.0,3759138.8986301366,9652.0,4791.0,
Lebanon,2021-12-08,19848.0,1983881.0,1728940.0,3745804.136986301,13407.0,6441.0,
Lebanon,2021-12-09,11193.0,1991658.0,1732356.0,3738099.375342466,7777.0,3416.0,
Lebanon,2021-12-10,37281.0,2020739.0,1740556.0,3709090.613698631,29081.0,8200.0,
Lebanon,2021-12-11,31733.0,2050765.0,1742263.0,3679136.8520547934,30026.0,1707.0,
Lebanon,2021-12-12,14930.0,2062985.0,1744973.0,3666989.090410959,12220.0,2710.0,
Lebanon,2021-12-13,17266.0,2074802.0,1750422.0,3655244.328767124,11817.0,5449.0,
Lebanon,2021-12-14,13498.0,2084121.0,1754601.0,3645997.567123288,9319.0,4179.0,
Lebanon,2021-12-15,19023.0,2097664.0,1760081.0,3632526.805479452,13543.0,5480.0,
Lebanon,2021-12-16,20447.0,2112346.0,1765846.0,3617917.0438356167,14682.0,5765.0,
Lebanon,2021-12-17,20064.0,2126023.0,1772233.0,3604312.282191781,13677.0,6387.0,
Lebanon,2021-12-18,6675.0,2131113.0,1773818.0,3599294.520547945,5090.0,1585.0,
Lebanon,2021-12-21,285437.0,2177130.0,1789690.0,3553494.235616438,14475.0,5991.0,
Lebanon,2021-12-22,1614.0,2177957.0,1790116.0,3552739.4739726027,827.0,426.0,
Lebanon,2021-12-23,24212.0,2192675.0,1795813.0,3538093.7123287674,14718.0,5697.0,
Lebanon,2021-12-24,9833.0,2198057.0,1798733.0,3532783.950684931,5382.0,2920.0,
Lebanon,2021-12-25,150.0,2198189.0,1798748.0,3532724.189041096,132.0,15.0,
Lebanon,2021-12-26,3175.0,2199535.0,1799640.0,3531450.4273972604,1346.0,892.0,
Lebanon,2021-12-27,28093.0,2212965.0,1807870.0,3518092.665753425,13430.0,8230.0,
Lebanon,2021-12-28,52000.0,2237489.0,1823001.0,3493640.904109589,24524.0,15131.0,
Lebanon,2021-12-29,286.0,2237631.0,1823135.0,3493571.142465753,142.0,134.0,
Lebanon,2021-12-30,25015.0,2250918.0,1830105.0,3480356.380821918,13287.0,6970.0,
Lebanon,2021-12-31,3318.0,2252750.0,1831322.0,3478596.619178082,1832.0,1217.0,
Lebanon,2022-01-01,576.0,2253125.0,1831440.0,3478293.8575342465,375.0,118.0,
Lebanon,2022-01-02,6693.0,2256124.0,1833116.0,3475367.095890411,2999.0,1676.0,
Lebanon,2022-01-03,23716.0,2268589.0,1837572.0,3462974.334246575,12465.0,4456.0,
Lebanon,2022-01-04,24704.0,2280955.0,1843313.0,3450680.57260274,12366.0,5741.0,
Lebanon,2022-01-05,22294.0,2291730.0,1847931.0,3439977.810958904,10775.0,4618.0,
Lebanon,2022-01-06,131.0,2291801.0,1847953.0,3439979.049315069,71.0,22.0,
Lebanon,2022-01-07,43593.0,2313882.0,1856507.0,3417970.2876712326,22081.0,8554.0,
Lebanon,2022-01-08,51309.0,2341721.0,1868466.0,3390203.5260273973,27839.0,11959.0,
Lebanon,2022-01-09,17766.0,2349307.0,1873787.0,3382689.764383562,7586.0,5321.0,
Lebanon,2022-01-10,40006.0,2365990.0,1886551.0,3366079.0027397256,16683.0,12764.0,
Lebanon,2022-01-11,15426.0,2371596.0,1891357.0,3360545.2410958903,5606.0,4806.0,
Lebanon,2022-01-12,29136.0,2382882.0,1901614.0,3349331.479452055,11286.0,10257.0,
Lebanon,2022-01-13,13390.0,2387324.0,1906463.0,3344961.71780822,4442.0,4849.0,
Lebanon,2022-01-14,18028.0,2394112.0,1913139.0,3338245.956164384,6788.0,6676.0,
Lebanon,2022-01-15,1340.0,2394811.0,1913395.0,3337619.194520548,699.0,256.0,
Lebanon,2022-01-16,17189.0,,1920783.0,,0.0,7388.0,
Lebanon,2022-01-17,19370.0,,1929726.0,,0.0,8943.0,
Lebanon,2022-01-18,9290.0,2399599.0,1937581.0,3333047.909589041,0.0,7855.0,
Lebanon,2022-01-19,5542.0,2400715.0,1940758.0,3332004.1479452057,1116.0,3177.0,
Lebanon,2022-01-20,27898.0,2407072.0,1955624.0,3325719.3863013694,6357.0,14866.0,
Lebanon,2022-01-21,14514.0,2410854.0,1962948.0,3322009.624657534,3782.0,7324.0,
Lebanon,2022-01-22,1515.0,2411708.0,1963273.0,3321227.8630136987,854.0,325.0,
Lebanon,2022-01-23,2438.0,2412182.0,1964345.0,3320826.1013698634,474.0,1072.0,
Lebanon,2022-01-24,22639.0,2417423.0,1975970.0,3315657.339726027,5241.0,11625.0,
Lebanon,2022-01-25,18328.0,2421579.0,1984741.0,3311573.578082192,4156.0,8771.0,
Lebanon,2022-01-26,11907.0,2424037.0,1990620.0,3309187.8164383564,2458.0,5879.0,
Lebanon,2022-01-27,13726.0,2426499.0,1997536.0,3306798.05479452,2462.0,6916.0,
Lebanon,2022-01-28,11238.0,2429107.0,2001383.0,3304262.293150685,2608.0,3847.0,
Lebanon,2022-01-29,3696.0,2430205.0,2003206.0,3303236.531506849,1098.0,1823.0,
Lebanon,2022-01-30,14723.0,2433847.0,2009187.0,3299666.769863014,3642.0,5981.0,
Lebanon,2022-01-31,20479.0,2438034.0,2019153.0,3295552.008219178,4187.0,9966.0,
Lebanon,2022-02-01,15064.0,2441107.0,2026672.0,3292551.2465753425,3073.0,7519.0,
Lebanon,2022-02-02,11115.0,2443750.0,2031963.0,3289980.484931507,2643.0,5291.0,
Lebanon,2022-02-03,19118.0,2447634.0,2040672.0,3286168.723287671,3884.0,8709.0,
Lebanon,2022-02-04,6574.0,2449441.0,2042902.0,3284433.9616438355,1807.0,2230.0,
Lebanon,2022-02-05,2949.0,2450663.0,2043866.0,3283284.2,1222.0,964.0,
Lebanon,2022-02-06,98.0,2450675.0,2043920.0,3283344.438356165,12.0,54.0,
Lebanon,2022-02-07,21947.0,2455107.0,2054158.0,3278984.6767123286,4432.0,10238.0,
